accnum,id,host,sex,loc,mik,leu,col,total
NA,NUBO.HD.002.3,mik,fem,NUBO,107.392,0,0,107.392
ETH8C6,NUBO.HD.002.1,mik,mle,NUBO,378.582,0,0,378.582
ETH8C7,NUBO.HD.002.2,mik,fem,NUBO,32.043,0,0,32.043
ETH8G8,MASG.HD.004.1,mik,fem,MASG,33.695,22.81,0,56.505
ETH8F10,MASG.HD.003.1,mik,fem,MASG,108.988,8.786,0,117.774
ETH8F10,MASG.HD.003.2,mik,fem,MASG,129.985,5.007,0,134.992
ETH8F10,MASG.HD.003.3,mik,fem,MASG,0,0,0,0
ETH8F10,MASG.HD.003.4,mik,fem,MASG,27.759,14.527,0,42.286
ETH8F10,MASG.HD.003.5,mik,mle,MASG,79.593,4.168,0,83.761
ETH8G1,MASG.HD.003.6,mik,fem,MASG,56.122,24.105,0,80.227
ETH8G1,MASG.HD.003.7,mik,fem,MASG,56.461,0,0,56.461
ETH8H4,PIND.HD.005.1,mik,mle,PIND,17.361,0,0,17.361
ETH8H4,PIND.HD.005.2,mik,fem,PIND,241.114,0,0,241.114
ETH8H4,PIND.HD.005.3,mik,mle,PIND,87.193,0,0,87.193
ETH8H4,PIND.HD.005.4,mik,fem,PIND,146.625,0,0,146.625
ETH8H4,PIND.HD.005.5,mik,fem,PIND,168.961,0,0,168.961
ETH8J7,SIWA.HD.008.1,mik,mle,SIWA,67.032,48.392,0,115.424
ETH8J4,SIWA.HD.008.2,mik,NA,SIWA,61.85,13.54,0,75.39
ETH8J5,SIWA.HD.008.3,mik,fem,SIWA,76.615,27.423,0,104.038
ETH8I3,SIWA.HD.008.4,mik,fem,SIWA,97.632,1.813,0,99.445
ETH8J3,SIWA.HD.008.5,mik,fem,SIWA,189.324,99.343,0,288.667
ETH8J3,SIWA.HD.008.6,mik,fem,SIWA,46.903,27.727,18.345,92.975
ETH8J3,SIWA.HD.008.7,mik,mle,SIWA,76.512,59.779,0,136.291
ETH8I6,SIWA.HD.008.8,mik,mle,SIWA,44.651,51.469,0,96.12
ETH9A9,RANT.HD.010.1,col,fem,RANT,40.729,0,40.248,80.977
ETH9A10,RANT.HD.010.2,col,fem,RANT,0,0,162.039,162.039
ETH9A10,RANT.HD.010.3,col,fem,RANT,0,0,129.442,129.442
ETH9B1,RANT.HD.010.4,col,fem,RANT,0,0,93.286,93.286
ETH9B2,RANT.HD.010.5,col,NA,RANT,0,0,110.536,110.536
NA,RANT.HD.010.6,col,fem,RANT,0,0,142.757,142.757
NA,RANT.HD.010.7,col,fem,RANT,0,0,139.394,139.394
ETH9B7,RANT.HD.011.1,col,fem,RANT,0,0,50.17,50.17
ETH9D7,BATG.HD.012.1,col,fem,BATG,0,0,62.962,62.962
ETH9D7,BATG.HD.012.2,col,fem,BATG,0,0,208.31,208.31
ETH9D8,BATG.HD.012.3,col,fem,BATG,0,0,57.701,57.701
ETH9D8,BATG.HD.012.4,col,fem,BATG,0,0,166.913,166.913
ETH9D10,BATG.HD.012.5,col,fem,BATG,0,0,0,0
NA,BATG.HD.012.6,col,fem,BATG,0,0,81.8,81.8
NA,BATG.HD.012.7,col,mle,BATG,0,0,65.718,65.718
ETH9B10,MINA.HD.013.1,leu,NA,MINA,35.227,101.421,0,136.648
ETH9C1,MINA.HD.013.2,leu,NA,MINA,4.393,44.326,0,48.719
ETH9C1,MINA.HD.013.3,leu,NA,MINA,15.034,159.755,0,174.789
ETH9C1,MINA.HD.013.4,leu,NA,MINA,8.286,33.897,0,42.183
ETH9C1,MINA.HD.013.5,leu,NA,MINA,0,0,0,0
ETH9C2,MINA.HD.013.6,leu,NA,MINA,0,38.826,0,38.826
ETH9C3,MINA.HD.013.7,leu,NA,MINA,12.25,74.82,0,87.07
ETH9C4,MINA.HD.013.8,leu,NA,MINA,20.528,129.408,0,149.936
ETH9C9,PETA.HD.014.1,leu,NA,PETA,36.859,107.914,0,144.773
ETH9C10,PETA.HD.014.2,leu,NA,PETA,46.928,111.458,0,158.386
ETH9D1,PETA.HD.014.3,leu,NA,PETA,39.776,43.971,0,83.747
ETH9D2,PETA.HD.014.4,leu,NA,PETA,71.52,60.951,0,132.471
ETH9D3,PETA.HD.014.5,leu,NA,PETA,22.742,54.4,0,77.142
ETH9D4,PETA.HD.014.6,leu,NA,PETA,0,17.246,0,17.246
ETH9D5,PETA.HD.014.7,leu,NA,PETA,17.528,61.432,0,78.96
ETH9D6,PETA.HD.014.8,leu,NA,PETA,57.166,92.713,0,149.879
ETH9D6,PETA.HD.014.9,leu,NA,PETA,6.615,56.183,0,62.798
missing,PETA.HD.014.10,leu,NA,PETA,26.615,80.466,0,107.081