host,pop,family,batch,id,food,start,end,dur,mass,death,status,stc
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.1,SIWA.HD.008.1.1.M1,mik,18/03/2024,08/04/2024,21,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.1,SIWA.HD.008.1.1.M2,mik,18/03/2024,08/04/2024,21,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.2,SIWA.HD.008.1.2.M3,mik,18/03/2024,08/04/2024,21,0.019,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M4,mik,20/03/2024,09/04/2024,20,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M5,mik,20/03/2024,08/04/2024,19,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M6,mik,20/03/2024,09/04/2024,20,0.02,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M7,mik,20/03/2024,08/04/2024,19,0.018,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M8,mik,20/03/2024,08/04/2024,19,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M9,mik,20/03/2024,08/04/2024,19,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.M10,mik,20/03/2024,08/04/2024,19,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.M1,mik,21/03/2024,NA,2,NA,23/03/2024,dead,2
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.M2,mik,21/03/2024,13/04/2024,23,0.021,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.M3,mik,21/03/2024,12/04/2024,22,0.02,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.M4,mik,21/03/2024,08/04/2024,18,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.M5,mik,21/03/2024,09/04/2024,19,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.1,SIWA.HD.008.4.1.M1,mik,23/03/2024,16/04/2024,24,0.019,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.M2,mik,24/03/2024,14/04/2024,21,0.019,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.M3,mik,24/03/2024,11/04/2024,18,0.018,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.3,SIWA.HD.008.4.3.M4,mik,25/03/2024,NA,30,NA,24/04/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.3,SIWA.HD.008.4.3.M5,mik,25/03/2024,14/04/2024,20,0.015,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.4,SIWA.HD.008.4.4.M6,mik,25/03/2024,20/04/2024,26,0.014,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.4,SIWA.HD.008.4.4.M7,mik,25/03/2024,NA,3,NA,28/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.1,SIWA.HD.008.1.1.L1,leu,18/03/2024,09/04/2024,22,0.011,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.2,SIWA.HD.008.1.2.L2,leu,18/03/2024,06/04/2024,19,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.2,SIWA.HD.008.1.2.L3,leu,18/03/2024,09/04/2024,22,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L4,leu,20/03/2024,NA,7,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L5,leu,20/03/2024,18/04/2024,29,0.018,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L6,leu,20/03/2024,10/04/2024,21,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L7,leu,20/03/2024,09/04/2024,20,0.02,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L8,leu,20/03/2024,13/04/2024,24,0.014,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L9,leu,20/03/2024,10/04/2024,21,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.L10,leu,20/03/2024,08/04/2024,19,0.019,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.L1,leu,21/03/2024,NA,22,NA,12/04/2024,dead,2
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.L2,leu,21/03/2024,NA,23,NA,13/04/2024,dead,2
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.L3,leu,21/03/2024,21/04/2024,31,0.011,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.L4,leu,21/03/2024,NA,23,NA,13/04/2024,dead,2
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.L5,leu,21/03/2024,14/04/2024,24,0.013,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.1,SIWA.HD.008.4.1.L1,leu,23/03/2024,NA,2,NA,25/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.L2,leu,24/03/2024,NA,22,NA,15/04/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.L3,leu,24/03/2024,NA,28,NA,21/04/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.3,SIWA.HD.008.4.3.L4,leu,25/03/2024,NA,3,NA,28/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.4,SIWA.HD.008.4.4.L5,leu,25/03/2024,NA,2,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.4,SIWA.HD.008.4.4.L6,leu,25/03/2024,26/04/2024,32,0.016,NA,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.1,SIWA.HD.008.1.1.C1,col,18/03/2024,NA,10,NA,28/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.2,SIWA.HD.008.1.2.C2,col,18/03/2024,27/04/2024,40,0.01,30/04/2024,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.2,SIWA.HD.008.1.2.C3,col,18/03/2024,NA,5,NA,23/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C4,col,20/03/2024,NA,15,NA,04/04/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C5,col,20/03/2024,NA,38,NA,27/04/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C6,col,20/03/2024,NA,7,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C7,col,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C8,col,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C9,col,20/03/2024,29/04/2024,40,0.011,30/04/2024,alive,1
mik,SIWA,SIWA.HD.008.1,SIWA.HD.008.1.3,SIWA.HD.008.1.3.C10,col,20/03/2024,NA,7,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.C1,col,21/03/2024,26/04/2024,36,0.01,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.C2,col,21/03/2024,26/04/2024,36,0.011,29/04/2024,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.C3,col,21/03/2024,12/04/2024,22,0.018,NA,alive,1
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.C4,col,21/03/2024,NA,6,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.3,SIWA.HD.008.3.1,SIWA.HD.008.3.1.C5,col,21/03/2024,NA,6,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.1,SIWA.HD.008.4.1.C1,col,23/03/2024,NA,4,NA,27/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.C2,col,24/03/2024,NA,5,NA,29/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.C3,col,24/03/2024,15/04/2024,22,0.017,NA,alive,1
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.2,SIWA.HD.008.4.2.C4,col,24/03/2024,NA,5,NA,29/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.3,SIWA.HD.008.4.3.C5,col,25/03/2024,NA,23,NA,17/04/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.3,SIWA.HD.008.4.3.C6,col,25/03/2024,NA,3,NA,28/03/2024,dead,2
mik,SIWA,SIWA.HD.008.4,SIWA.HD.008.4.4,SIWA.HD.008.4.4.C7,col,25/03/2024,NA,7,NA,01/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.M1,mik,18/03/2024,08/04/2024,21,0.019,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.M2,mik,18/03/2024,NA,4,NA,22/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.M3,mik,18/03/2024,06/04/2024,19,0.017,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.M4,mik,18/03/2024,06/04/2024,19,0.016,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.M1,mik,20/03/2024,NA,25,NA,14/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.M2,mik,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.M3,mik,20/03/2024,NA,5,NA,25/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.M4,mik,20/03/2024,NA,5,NA,25/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2. M5,mik,21/03/2024,NA,8,NA,29/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2. M6,mik,21/03/2024,10/04/2024,20,0.025,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2. M7,mik,21/03/2024,13/04/2024,23,0.02,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.M5,mik,22/03/2024,08/04/2024,17,0.022,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.M6,mik,22/03/2024,08/04/2024,17,0.021,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.M7,mik,22/03/2024,08/04/2024,17,0.021,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.M8,mik,22/03/2024,08/04/2024,17,0.019,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.M9,mik,22/03/2024,08/04/2024,17,0.023,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.M10,mik,22/03/2024,08/04/2024,17,0.023,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.M8,mik,24/03/2024,12/04/2024,19,0.019,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.M9,mik,24/03/2024,NA,5,NA,29/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.M10,mik,24/03/2024,NA,4,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.M1,mik,15/04/2024,NA,20,0.019,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.M2,mik,15/04/2024,NA,19,0.019,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.M3,mik,15/04/2024,NA,24,0.016,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.M4,mik,15/04/2024,NA,20,0.017,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.M5,mik,20/04/2024,NA,19,0.019,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.M6,mik,20/04/2024,NA,19,0.02,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.M7,mik,20/04/2024,NA,19,0.02,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.M8,mik,20/04/2024,NA,17,0.021,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.M9,mik,20/04/2024,NA,22,0.017,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.M10,mik,20/04/2024,NA,23,0.016,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.L1,leu,18/03/2024,NA,20,NA,07/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.L2,leu,18/03/2024,09/04/2024,22,0.014,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.L3,leu,18/03/2024,NA,38,NA,25/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.L1,leu,20/03/2024,NA,4,NA,24/03/2024,dead,2
