host,pop,family,batch,id,food,start,end,dur,mass,death,status,stc
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.L2,leu,20/03/2024,NA,5,NA,25/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.L3,leu,20/03/2024,NA,4,NA,24/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.L4,leu,20/03/2024,10/04/2024,21,0.016,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.L5,leu,21/03/2024,13/04/2024,23,0.015,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.L6,leu,21/03/2024,10/04/2024,20,0.019,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.L7,leu,21/03/2024,NA,19,NA,09/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L4,leu,22/03/2024,13/04/2024,22,0.011,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L5,leu,22/03/2024,09/04/2024,18,0.017,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L6,leu,22/03/2024,12/04/2024,21,0.016,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L7,leu,22/03/2024,18/04/2024,27,0.013,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L8,leu,22/03/2024,NA,37,NA,NA,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L9,leu,22/03/2024,NA,14,NA,05/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.L10,leu,22/03/2024,NA,6,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.L8,leu,24/03/2024,NA,8,NA,01/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.L9,leu,24/03/2024,15/04/2024,22,0.015,NA,alive,1
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.L10,leu,24/03/2024,NA,4,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.L1,leu,15/04/2024,NA,31,0.011,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.L2,leu,15/04/2024,NA,22,0.016,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.L3,leu,15/04/2024,NA,27,0.011,NA,alive,1
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.L4,leu,15/04/2024,NA,13,NA,28/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L5,leu,20/04/2024,NA,8,NA,28/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L6,leu,20/04/2024,NA,6,NA,26/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L7,leu,20/04/2024,NA,6,NA,26/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L8,leu,20/04/2024,NA,8,NA,28/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L9,leu,20/04/2024,NA,8,NA,28/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L10,leu,20/04/2024,NA,8,NA,28/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.C1,col,18/03/2024,NA,26,NA,13/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.C2,col,18/03/2024,NA,5,NA,23/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.C3,col,18/03/2024,NA,5,NA,23/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C1,col,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C2,col,20/03/2024,NA,7,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C3,col,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C4,col,20/03/2024,NA,27,NA,16/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C5,col,21/03/2024,NA,29,NA,19/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C6,col,21/03/2024,NA,7,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C7,col,21/03/2024,NA,6,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C8,col,21/03/2024,NA,6,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C4,col,22/03/2024,NA,5,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C5,col,22/03/2024,NA,5,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C6,col,22/03/2024,NA,8,NA,30/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C7,col,22/03/2024,25/04/2024,34,0.014,NA,alive,1
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C8,col,22/03/2024,NA,1,NA,23/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C9,col,22/03/2024,NA,5,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C10,col,22/03/2024,NA,5,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.C9,col,24/03/2024,NA,5,NA,29/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.3,MASG.HD.004.1.3.C10,col,24/03/2024,NA,23,NA,16/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.C1,col,15/04/2024,NA,8,NA,23/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.C2,col,15/04/2024,NA,8,NA,23/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.C3,col,15/04/2024,NA,8,NA,23/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.1,MASG.HD.004.5.1.C4,col,15/04/2024,NA,9,NA,24/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.C5,col,20/04/2024,NA,4,NA,24/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.C6,col,20/04/2024,NA,4,NA,24/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.C7,col,20/04/2024,NA,4,NA,24/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.C8,col,20/04/2024,NA,5,NA,25/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.C9,col,20/04/2024,NA,5,NA,25/04/2024,dead,2
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.C10,col,20/04/2024,NA,5,NA,25/04/2024,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.3,MINA.HD.013.1.3.M1,mik,30/03/2024,NA,6,NA,05/04/2024,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.3,MINA.HD.013.1.3.M2,mik,30/03/2024,21/04/2024,22,0.01,NA,alive,1
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.2,MINA.HD.013.1.2.M3,mik,30/03/2024,20/04/2024,21,0.011,NA,alive,1
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.1,MINA.HD.013.2.1.M1,mik,07/04/2024,NA,18,NA,NA,dead,2
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.2,MINA.HD.013.2.2.M2,mik,NA,NA,24,0.01,NA,alive,1
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.4,MINA.HD.013.2.2.M3,mik,NA,NA,23,0.01,NA,alive,1
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.1,MINA.HD.013.3.1.M1,mik,NA,NA,22,0.013,NA,alive,1
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.1,MINA.HD.013.3.1.M2,mik,NA,NA,4,NA,NA,dead,2
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.2,MINA.HD.013.3.2.M3,mik,NA,NA,9,NA,NA,dead,2
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.2,MINA.HD.013.3.2.M4,mik,NA,NA,18,NA,NA,dead,2
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.M1,mik,NA,NA,16,NA,NA,dead,2
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.M2,mik,NA,NA,18,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.1,MINA.HD.013.5.1.M1,mik,NA,NA,6,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.2,MINA.HD.013.5.2.M2,mik,NA,NA,16,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.2,MINA.HD.013.5.2.M3,mik,NA,NA,20,NA,NA,dead,2
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.1,MINA.HD.013.6.1.M1,mik,NA,NA,23,0.011,NA,alive,1
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.3,MINA.HD.013.6.3.M1,mik,NA,NA,10,NA,NA,dead,2
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.3,MINA.HD.013.6.3.M2,mik,NA,NA,16,NA,NA,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.3,MINA.HD.013.1.3.L1,leu,30/03/2024,NA,24,NA,23/04/2024,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.3,MINA.HD.013.1.3.L2,leu,30/03/2024,NA,20,0.015,NA,alive,1
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.4,MINA.HD.013.1.4.L3,leu,02/04/2024,NA,21,NA,23/04/2024,dead,2
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.1,MINA.HD.013.2.1.L1,leu,07/04/2024,NA,18,0.017,NA,alive,1
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.2,MINA.HD.013.2.2.L2,leu,NA,NA,20,0.016,NA,alive,1
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.4,MINA.HD.013.2.2.L3,leu,NA,NA,21,0.011,NA,alive,1
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.1,MINA.HD.013.3.1.L1,leu,NA,NA,21,0.013,NA,alive,1
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.2,MINA.HD.013.3.2.L2,leu,NA,NA,18,0.015,NA,alive,1
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.2,MINA.HD.013.3.2.L3,leu,NA,NA,5,NA,NA,dead,2
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.L1,leu,NA,NA,18,0.016,NA,alive,1
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.L2,leu,NA,NA,24,0.011,NA,alive,1
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.L3,leu,NA,NA,7,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.1,MINA.HD.013.5.1.L1,leu,NA,NA,20,0.014,NA,alive,1
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.1,MINA.HD.013.5.1.L2,leu,NA,NA,22,0.011,NA,alive,1
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.2,MINA.HD.013.5.2.L3,leu,NA,NA,17,0.017,NA,alive,1
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.1,MINA.HD.013.6.1.L1,leu,NA,NA,21,0.012,NA,alive,1
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.3,MINA.HD.013.6.3.L1,leu,NA,NA,18,0.014,NA,alive,1
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.3,MINA.HD.013.6.3.L2,leu,NA,NA,18,NA,NA,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.3,MINA.HD.013.1.3.C1,col,30/03/2024,NA,5,NA,04/04/2024,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.2,MINA.HD.013.1.2.C2,col,30/03/2024,NA,6,NA,05/04/2024,dead,2
leu,MINA,MINA.HD.013.1,MINA.HD.013.1.4,MINA.HD.013.1.4.C3,col,02/04/2024,NA,33,0.01,NA,alive,1
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.1,MINA.HD.013.2.1.C1,col,07/04/2024,NA,7,NA,14/04/2024,dead,2
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.4,MINA.HD.013.2.2.C2,col,NA,NA,4,NA,NA,dead,2
leu,MINA,MINA.HD.013.2,MINA.HD.013.2.5,MINA.HD.013.2.2.C3,col,NA,NA,9,NA,NA,dead,2
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.1,MINA.HD.013.3.1.C1,col,NA,NA,5,NA,NA,dead,2
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.2,MINA.HD.013.3.2.C2,col,NA,NA,5,NA,NA,dead,2
leu,MINA,MINA.HD.013.3,MINA.HD.013.3.2,MINA.HD.013.3.2.C3,col,NA,NA,11,NA,NA,dead,2
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.C1,col,NA,NA,3,NA,NA,dead,2
leu,MINA,MINA.HD.013.4,MINA.HD.013.4.1,MINA.HD.013.4.1.C2,col,NA,NA,4,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.1,MINA.HD.013.5.1.C1,col,NA,NA,5,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.1,MINA.HD.013.5.1.C2,col,NA,NA,8,NA,NA,dead,2
leu,MINA,MINA.HD.013.5,MINA.HD.013.5.2,MINA.HD.013.5.2.C3,col,NA,NA,8,NA,NA,dead,2
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.1,MINA.HD.013.6.1.C1,col,NA,NA,6,NA,NA,dead,2
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.2,MINA.HD.013.6.2.C2,col,NA,NA,7,NA,NA,dead,2
leu,MINA,MINA.HD.013.6,MINA.HD.013.6.3,MINA.HD.013.6.3.C1,col,NA,NA,23,NA,NA,dead,2